Industria,ene. 20,feb. 20,mar. 20,abr. 20,may. 20,jun. 20,jul. 20,ago. 20,sept. 20,oct. 20,nov. 20,dic. 20,ene. 21,feb. 21,mar. 21,abr. 21
Software & IT Services,"1,8","1,6","1,5","0,8","0,8",1,"1,3","1,4","1,6","1,8","1,7","1,4","1,9","1,8","2,3","2,2"
Sin fines de lucro,"1,6","1,3","1,3","0,7","0,7",1,"1,2","1,4","1,3","1,3","1,2","0,9","1,6","1,5","1,9","1,7"
Finanzas,"1,9","1,5","1,4","0,6","0,7","0,9","1,1","1,3","1,4","1,4","1,5","1,2","1,8","1,6","1,9","1,9"
Comercio al menudeo,"1,6","1,3","1,4","0,5","0,6","0,9","1,2","1,3","1,4","1,6","1,6","1,3","1,6","1,6","1,7","1,6"
Salud,"1,6","1,4","1,5","0,9","0,9",1,"1,2","1,3","1,3","1,4","1,3","1,1","1,7","1,5","1,8","1,7"
Transporte y Logística,"1,6","1,5","1,3","0,6","0,7","1,1","1,4","1,5","1,6","1,8","1,6","1,3","1,8","1,7","1,9","1,8"
Medios y comunicación,"1,4","1,2","1,1","0,5","0,5","0,7","0,9",1,"1,1","1,2","1,1","0,8","1,3","1,3","1,6","1,5"
Bienestar y salud,"2,5","2,3","2,3","1,2","1,1","1,5","1,9","2,3","2,2","2,3",2,"1,9","2,8","2,6","3,4","2,8"
Bienes raíces,"2,2",2,"1,9","0,7","0,9","1,4","1,9","2,1",2,"2,4","2,1","1,5","2,4","2,2","2,7","2,3"
Servicios corporativos,"1,8","1,4","1,3","0,5","0,6","0,8",1,"1,2","1,3","1,4","1,3",1,"1,7","1,5","1,9","1,7"
Agricultura,"2,8","2,4","2,5","1,5","1,7",2,"2,4","2,5","2,6","2,5","2,3","1,7","3,1","2,9","3,1","2,7"
Construcción,"1,7","1,4","1,3","0,5","0,6",1,"1,2","1,4","1,4","1,5","1,3",1,"1,7","1,5","1,7","1,5"
Promedio,"1,8","1,6","1,5","0,6","0,7","0,9","1,2","1,4","1,4","1,5","1,4","1,1","1,8","1,6","1,9","1,7"
Bienes de consumo,"1,5","1,3","1,2","0,5","0,5","0,8",1,"1,1","1,1","1,2","1,2",1,"1,5","1,4","1,6","1,4"
Hardware & redes,"1,3","1,1","1,1","0,5","0,5","0,7","0,9",1,1,"1,2","1,1","0,9","1,2","1,2","1,4","1,2"
Legal,"2,4",2,"1,8","0,5","0,6",1,"1,4","1,8","1,9","1,9","1,7","1,1","2,2","2,3","2,4","2,1"
Manufactura,"1,6","1,4","1,2","0,5","0,5","0,8",1,"1,1","1,3","1,3","1,3",1,"1,6","1,5","1,7","1,5"
Energía y minas,2,"1,5","1,3","0,5","0,5","0,8",1,"1,1","1,1","1,2","1,2","1,1","1,6","1,4","1,6","1,6"
Entretenimiento,"1,4","1,1","1,1","0,4","0,5","0,6","0,8","0,9","0,9",1,"0,9","0,7","1,1","1,1","1,3","1,1"
Diseño,"2,4","1,7","1,7","0,6","0,6","0,9","1,4","1,8","1,6","1,7","1,5","0,9","2,4","1,8","1,9","1,6"
Administración pública,"1,7","1,4","1,2","0,5","0,5","0,7",1,"1,1","1,2","1,2",1,"0,8","1,6","1,4","1,6","1,3"
Educación,"1,5","1,6","1,7","0,6","0,5","0,6","0,8","1,4","1,1","0,9","0,7","0,5","1,3","1,4",2,"1,4"
Recreación y viajes,"1,6","1,4","1,1","0,2","0,3","0,5","0,6","0,8","0,9",1,1,"1,1","1,2",1,"1,2","1,1"