Pais,Escolaridad,Hombres,Mujeres
ARG,"[0,8]",0,0
ARG,"[9,13]",0,0
ARG,14+,0,0
BRA,"[0,8]","-0,0007606229396","0,02173656954"
BRA,"[9,13]","-0,04447135612","0,01848669929"
BRA,14+,"-0,1028859233","-0,00772883127"
CHL,"[0,8]",0,0
CHL,"[9,13]",0,0
CHL,14+,0,0
COL,"[0,8]","-0,1518613781","-0,1066061912"
COL,"[9,13]","-0,1831727995","-0,1132888321"
COL,14+,"-0,1412104604","-0,09878034824"
CRI,"[0,8]","-0,06423809967","-0,0425420095"
CRI,"[9,13]","-0,09814310064","-0,006494265034"
CRI,14+,"-0,04449747839","-0,0120148135"
ECU,"[0,8]","-0,1148691069","-0,10110785"
ECU,"[9,13]","-0,1176136071","-0,02991605785"
ECU,14+,"-0,06699301469","-0,02014053356"
MEX,"[0,8]","0,01606080618","0,02996006071"
MEX,"[9,13]","0,006319173639","0,01714409365"
MEX,14+,"-0,02440637732","0,01947744406"
PRY,"[0,8]","-0,002064359146","-0,004632658222"
PRY,"[9,13]","-0,2820445177","-0,05650590587"
PRY,14+,"-0,1059147803","-0,08977409187"