Fecha,Hombres,Mujeres
feb-20,0,0
mar-20,"-0,01039340115","-0,006696618871"
abr-20,"-0,08980608177","-0,09471063428"
may-20,"-0,0967511422","-0,09520061622"
jun-20,"-0,1311986606","-0,1530086939"
jul-20,"-0,1110660142","-0,1638533783"
ago-20,"-0,09842851392","-0,1471194642"
sept-20,"-0,08758385351","-0,1287254072"
oct-20,"-0,07241144466","-0,1132364037"
nov-20,"-0,07041658071","-0,1082513152"
dic-20,"-0,05003947554","-0,07556064514"
ene-21,"-0,05591568081","-0,08882481645"
feb-21,"-0,04749697488","-0,08134884412"
mar-21,"-0,04823680799","-0,0793510435"