Fecha,Empleo_Formal,Empleo_Informal
feb-20,0,0
mar-20,-753065,"-2616958,364"
abr-20,-4159739,"-20592674,36"
may-20,-6597625,"-22332201,36"
jun-20,"-8094095,658","-23154161,75"
jul-20,"-8753180,658","-22049422,75"
ago-20,"-8876188,658","-19118971,75"
sept-20,"-8544875,149","-14754306,45"
oct-20,"-7401044,149","-10703620,45"
nov-20,"-6615158,149","-9672616,452"
dic-20,"-6761744,861","-6999444,531"
ene-21,"-7048782,393","-8885630,526"
feb-21,"-6496884,079","-7816862,424"
mar-21,"-6298032,709","-7734422,642"